,Encoder Architecture,Classifier Architecture,Classifier Weight,R Squared,F1-Score,Accuracy,RSA,kl-divergence,Cross Entropy Loss,MSE,Seed
0,Linear,Linear,0,0.9999284325686031,0.0,0.5,0.9833190372201743,0.1286558437347412,0.6931473016738892,0.11336223781108856,0
1,Linear,Linear,1,0.999928842049327,0.5829145728643216,0.585,0.9834007259931654,0.12866350173950195,0.5781316757202148,0.122520312666893,0
2,Linear,Linear,10,0.9999291084444718,0.5829145728643216,0.585,0.9834356424760383,0.12872624397277832,0.578031599521637,0.12110516428947449,0
3,Linear,Linear,100,0.9999275397409015,0.5940594059405941,0.59,0.9837667920668856,0.13090843200683594,0.5780118703842163,0.12051654607057571,0
4,Linear,Linear,500,0.9998802933195108,0.5940594059405941,0.59,0.9860235527389287,0.14909502983093262,0.5779533982276917,0.20779941976070404,0
5,Linear,Linear,1,-0.14027743815992885,0.7378640776699028,0.73,0.3582495495852862,0.0021539896726608275,0.5983788967132568,3278.326171875,0
6,Linear,Non-Linear,0,0.9999147345420019,0.0,0.5,0.9830226485331144,0.12730368614196777,0.6931473016738892,0.1533418595790863,0
7,Linear,Non-Linear,1,0.9999146615547317,0.6624203821656051,0.735,0.9829488608368138,0.12736223220825196,0.5624170899391174,0.15368102490901947,0
8,Linear,Non-Linear,10,0.999910205796965,0.9484536082474226,0.95,0.9843644663812396,0.12764179229736328,0.3592100441455841,0.16946233808994293,0
9,Linear,Non-Linear,100,0.9999015620138608,0.9533678756476685,0.955,0.9926680291783657,0.16338558197021485,0.3595263361930847,0.127923384308815,0
10,Linear,Non-Linear,500,0.9998480396029636,0.9538461538461539,0.955,0.9987997552981261,0.3083848571777344,0.35870903730392456,0.1467590481042862,0
11,Linear,Non-Linear,1,-0.14027743817616925,0.6530612244897959,0.66,0.4132523532803453,0.0028721144795417785,0.6229615807533264,3278.326171875,0
12,Non-Linear,Linear,0,0.9989235634550265,0.0,0.5,0.9746621422282162,0.053651647567749025,0.6931473016738892,1.6402392387390137,0
13,Non-Linear,Linear,1,0.9989246540767728,0.6124401913875598,0.595,0.9747764254527316,0.05363610744476319,0.5740969181060791,1.6408674716949463,0
14,Non-Linear,Linear,10,0.9989407404161865,0.6220095693779903,0.605,0.9749716349512213,0.05337816715240479,0.5747354030609131,1.6561062335968018,0
15,Non-Linear,Linear,100,0.9987360640021903,0.7115384615384615,0.7,0.9602477627930424,0.055972900390625,0.5522408485412598,1.8920769691467285,0
16,Non-Linear,Linear,500,0.9923181319007582,0.9595959595959594,0.96,0.9345201502299061,0.08944300651550292,0.3576946258544922,6.9619598388671875,0
17,Non-Linear,Linear,1,-0.14027743815992885,0.91,0.91,0.2920005991296241,0.00465723842382431,0.4181278944015503,3278.326171875,0
18,Non-Linear,Non-Linear,0,0.9992317945610689,0.0,0.5,0.9834303055631586,0.053170275688171384,0.6931473016738892,1.5003399848937988,0
19,Non-Linear,Non-Linear,1,0.9992150964893319,0.9484536082474226,0.95,0.9838455404733643,0.053301100730895994,0.39574870467185974,1.5443816184997559,0
20,Non-Linear,Non-Linear,10,0.9991591351810049,0.9538461538461539,0.955,0.9852316295043925,0.053619856834411624,0.3613678812980652,1.6757313013076782,0
21,Non-Linear,Non-Linear,100,0.9987764272433569,0.9587628865979382,0.96,0.9911205886508466,0.05768085479736328,0.35871800780296326,2.095587730407715,0
22,Non-Linear,Non-Linear,500,0.998607912116219,0.9587628865979382,0.96,0.9935735426907609,0.07965087413787841,0.3580058217048645,2.6388156414031982,0
23,Non-Linear,Non-Linear,1,-0.14027743684877325,0.9387755102040817,0.94,0.2192268573435012,0.004717850387096405,0.38624778389930725,3278.326171875,0
