,Encoder Architecture,Classifier Architecture,Classifier Weight,R Squared,F1-Score,Accuracy,RSA,kl-divergence,Cross Entropy Loss,MSE,latent_cov,Seed
0,Linear,Linear,0,0.9995407429114863,0.0,0.5,0.9878692598070754,0.05448466777801514,0.6931473016738892,0.0914473757147789,[4.71733869 0.27047174],0
1,Linear,Linear,1,0.9995232707212988,0.6846153846153846,0.59,0.989376419924478,0.05496762752532959,0.7037585973739624,0.09386111050844193,[4.81304769 0.19905778],0
2,Linear,Linear,10,0.9995059176694556,0.6893939393939394,0.59,0.9943038488035164,0.057184600830078126,0.7002176642417908,0.096547432243824,[ 5.09435465 -0.09786765],0
3,Linear,Linear,100,0.9994895402813513,0.6943396226415096,0.595,0.9954694344148315,0.06964271068572998,0.6996822357177734,0.09708581119775772,[ 5.18776946 -0.68255659],0
4,Linear,Linear,500,0.9993449057508053,0.7041198501872659,0.605,0.9431141148218289,0.11139077186584473,0.6993252635002136,0.12982623279094696,[ 5.25135653 -1.11789102],0
5,Linear,Linear,1,-0.41996269195912694,0.4878048780487805,0.475,-0.008684462952772153,1.0027237294707446e-06,0.6932479739189148,290.7577819824219,[1.28766051 0.01600422],0
6,Linear,Non-Linear,0,0.9995392182337329,0.0,0.5,0.988705461655646,0.05441628932952881,0.6931473016738892,0.09298180788755417,[4.64214341 0.26131375],0
7,Linear,Non-Linear,1,0.9995434573186567,0.9547738693467336,0.955,0.9888637244368218,0.055146007537841796,0.38369181752204895,0.09209813922643661,[4.80964267 0.26082806],0
8,Linear,Non-Linear,10,0.9995710124263649,0.9655172413793104,0.965,0.9853613048705122,0.05857970714569092,0.3552626371383667,0.08633999526500702,[5.55018151 0.41341941],0
9,Linear,Non-Linear,100,0.9995501933124296,0.9655172413793104,0.965,0.972256367724,0.09705202102661133,0.3545898199081421,0.08996137976646423,[13.00141514  1.76589248],0
10,Linear,Non-Linear,500,0.9997307111358649,0.964824120603015,0.965,0.9986608810049779,0.3113116455078125,0.35200414061546326,0.05457109585404396,[42.47426177 -3.63933643],0
11,Linear,Non-Linear,1,-0.41996269195918434,0.7443946188340806,0.715,0.483966503465072,0.005405431389808655,0.5918294787406921,290.7577819824219,[ 0.87243235 -0.09237933],0
12,Non-Linear,Linear,0,0.997998445084799,0.0,0.5,0.9906231257791129,0.04032052516937256,0.6931473016738892,0.4094714820384979,[ 1.27231262 -0.03516112],0
13,Non-Linear,Linear,1,0.9980031406753086,0.6586345381526104,0.575,0.9915585633227504,0.04029958724975586,0.7265092730522156,0.4088256359100342,[ 1.34009953 -0.00962657],0
14,Non-Linear,Linear,10,0.9979278073433743,0.7250996015936255,0.655,0.9726476861102696,0.04222184658050537,0.6503224968910217,0.41734445095062256,[1.9502577  0.32295307],0
15,Non-Linear,Linear,100,0.9875619736249497,0.8508771929824562,0.83,0.7618048338683848,0.05101198196411133,0.480945885181427,2.542898654937744,[ 3.37619463 -0.46838676],0
16,Non-Linear,Linear,500,0.9534512993568476,0.9463414634146342,0.945,0.7079507355339487,0.05368588924407959,0.3784005343914032,9.5542631149292,[ 3.08518202 -0.59326294],0
17,Non-Linear,Linear,1,-0.41996269195918434,0.8844221105527638,0.885,0.123157774909803,0.005099743604660034,0.4456910789012909,290.7577819824219,[ 0.98451703 -0.04360222],0
18,Non-Linear,Non-Linear,0,0.997750879434765,0.0,0.5,0.9880031881407786,0.04018467903137207,0.6931473016738892,0.44917061924934387,[ 1.30458148 -0.07264816],0
19,Non-Linear,Non-Linear,1,0.9977042587139188,0.9595959595959594,0.96,0.9876157318183659,0.04032715320587158,0.40663599967956543,0.45865482091903687,[ 1.43836466 -0.08234109],0
20,Non-Linear,Non-Linear,10,0.9981065272485923,0.9547738693467336,0.955,0.9700441665410432,0.04184956550598144,0.36451107263565063,0.37764498591423035,[ 2.2557521  -0.20027689],0
21,Non-Linear,Non-Linear,100,0.9924535821733482,0.9607843137254902,0.96,0.9033757363037958,0.05025266647338867,0.3684367835521698,1.5323913097381592,[ 4.20459552 -0.31765798],0
22,Non-Linear,Non-Linear,500,0.9724859376195631,0.9748743718592964,0.975,0.8434478430544953,0.059736742973327636,0.34164050221443176,5.7221527099609375,[ 2.19570565 -0.35153779],0
23,Non-Linear,Non-Linear,1,-0.41996269195918434,0.9056603773584904,0.9,0.049641904450801355,0.005907714962959289,0.40534964203834534,290.7577819824219,[ 1.08824294 -0.01020677],0
